"party","id","Name","Birth","Death","gender","Age.Group_Speech.","Period","Speech.Length","keyword","content.stemmed","content_remove_stem","ideology","vallankumous","kapina"
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1919_1_084_014","Linna, Eemil",1876,1951,"Male","36-45","Civil_War","Long","kapina","laaja amnestia ehdottomasti lisääntyä laaja amnestia kannattaja keskusta vasemmisto väittää teko saada umpeenluodtu kuilu kapina kaikki ikäivine seurauksine yhteiskuntaluokki väliin luoda yhteis#kunta vahvemma kestää ulko sisältä päin kohdistua kapinayritys usea taho huomauttaa kysymys käsitellä yksinomaan tunnekysymyknen saada sekoittaa minkäänlainen vaikuttin lähdtää kapina saada ankara rangaistus armahdus lopettaa sem enen seuraamus tahtoa väittää NA että ei tällä katsantokanna oikeutus","laaja amnestia ehdottomasti lisääntyä laaja amnestia kannattaja keskusta vasemmisto väittää teko saada umpeenluodtu kuilu kapina kaikki ikäivine seurauksine yhteiskuntaluokki väliin luoda yhteiskunta vahvemma kestää ulko sisältä päin kohdistua kapinayritys usea taho huomauttaa kysymys käsitellä yksinomaan tunnekysymyknen saada sekoittaa minkäänlainen vaikuttin lähdtää kapina saada ankara rangaistus armahdus lopettaa sem enen seuraamus tahtoa väittää NA että ei tällä katsantokanna oikeutus","Right",0,1
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1935_1_003_006","Kivimäki, T.M.",1886,1968,"Male","46-55","1920-1960","Long","kapina","sisäpoliittinen tapahtuma tahalla käyttää tarkoitu tosiasiaa voida kieltää valtiollinen kysymys ratkaisemattoma työntää sivu mäntsälä kapina jälkiselvittely estää useitten kysymys tuleminen päiväjärjestyknen muistaa valtiopäivi löytyä mielenkiinto sellainen kysymys","sisäpoliittinen tapahtuma tahalla käyttää tarkoitu tosiasiaa voida kieltää valtiollinen kysymys ratkaisemattoma työntää sivu mäntsälä kapina jälkiselvittely estää useitten kysymys tuleminen päiväjärjestyknen muistaa valtiopäivi löytyä mielenkiinto sellainen kysymys","Right",0,1
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1932_2_019_011","Cajander, A.K.",1879,1943,"Male","46-55","1920-1960","Long","kapina","elää kaikkinainen yksityinen kansalainen kansalaisryhmienkki omavaltaisuus kurittomuus säännöllinen laillinen olo häiriö tulkootpa taho tarkoitus saatikka julkinen kapina laillinen valtio#valta ehdottomasti tuomita kapinaliike tulla kukistettu hallitus asia hallitus tieto#anto sanoa oikeuden#mukaisesti perusteellisesti käsitellä kapina johtua kysymys pyrki","elää kaikkinainen yksityinen kansalainen kansalaisryhmienkki omavaltaisuus kurittomuus säännöllinen laillinen olo häiriö tulkootpa taho tarkoitus saatikka julkinen kapina laillinen valtiovalta ehdottomasti tuomita kapinaliike tulla kukistettu hallitus asia hallitus tietoanto sanoa oikeudenmukaisesti perusteellisesti käsitellä kapina johtua kysymys pyrki","Right",0,1
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1934_1_005_057","Sarlin, Bruno",1878,1951,"Male","56-65","1920-1960","Very Long","kapina","nuori mies sellainen teko rikoslakea lei#maa rikos aa totta totisesti ed kari trasen henki kiihoitus tulos käsittää mäntsälä kapina lapoka liike viedä kapina kapina v alkaa valtiollinen liikehtiminen loogillinen loppu#tulos kylvtää epäilys laki kirjain levittää oppa tehdä lei#maa rikos aa totta totisesti ed kari trasen henki kiihoitus tulos käsittää mäntsälä kapina lapoka liike viedä kapina kapina v alkaa valtiollinen liikehtiminen loogillinen loppu#tulos kylvtää epäilys laki kirjain levittää oppa tehdä tahdoda kansanjohtaja julistaa","nuori mies sellainen teko rikoslakea leimaa rikos aa totta totisesti ed kari trasen henki kiihoitus tulos käsittää mäntsälä kapina lapoka liike viedä kapina kapina v alkaa valtiollinen liikehtiminen loogillinen lopputulos kylvtää epäilys laki kirjain levittää oppa tehdä leimaa rikos aa totta totisesti ed kari trasen henki kiihoitus tulos käsittää mäntsälä kapina lapoka liike viedä kapina kapina v alkaa valtiollinen liikehtiminen loogillinen lopputulos kylvtää epäilys laki kirjain levittää oppa tehdä tahdoda kansanjohtaja julistaa","Right",0,1
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1923_1_014_023","Linna, Eemil",1876,1951,"Male","46-55","1920-1960","Long",NA,NA,NA,"Right",NA,NA
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1921_1_014_006","Vennola, Juho",1872,1938,"Male","46-55","1920-1960","Long","vallankumous, punakapina","armahdusasia hallitus tietoinen kansalaispiirei herättää erilainen arvostelu punakapina tuottaa kauhu mieli häipyä naapuruus maa nallinen vallankumous vallita herättää pelko vastainen mahdollinen vaara puoli kysyä malhdollinen vaara torjuminen tarkoituksenmukaisesti $ aavutettavi kymme#niin tuhat tuntei ipunainen kapina kauhu jälke jättää jurildinen oikeus ankarim mittapua suinkaan tarkoituksenmukaisin ratkaista poliittinen tilante luoma vastakohtia punakapi sairaaloisuus yhteiskunnasstaa epäterve asiain#tila kymmeniätuhat kulkea vapaa keskuudessa katkeroitua puuttua kansalaisluottamus suoma oikeus t","armahdusasia hallitus tietoinen kansalaispiirei herättää erilainen arvostelu punakapina tuottaa kauhu mieli häipyä naapuruus maa nallinen vallankumous vallita herättää pelko vastainen mahdollinen vaara puoli kysyä malhdollinen vaara torjuminen tarkoituksenmukaisesti $ aavutettavi kymmeniin tuhat tuntei ipunainen kapina kauhu jälke jättää jurildinen oikeus ankarim mittapua suinkaan tarkoituksenmukaisin ratkaista poliittinen tilante luoma vastakohtia punakapi sairaaloisuus yhteiskunnasstaa epäterve asiaintila kymmeniätuhat kulkea vapaa keskuudessa katkeroitua puuttua kansalaisluottamus suoma oikeus t","Right",0,0
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1926_1_070_072","Valkama, Hannes",1876,1952,"Male","46-55","1920-1960","Very Short","vallankumous","työväki valistua sikäli vapautua yltiöpä suosiminen aseellisinen vallankumouksellisinen haave tarpeeton sano ajatella työläinenkki ymmärtää kehitys saavuttaa vallankumous parhain siunauksellisin työväestö itselleen pitkä moni#mutkainen tie tie oikea pää#määrä viedä johonika","työväki valistua sikäli vapautua yltiöpä suosiminen aseellisinen vallankumouksellisinen haave tarpeeton sano ajatella työläinenkki ymmärtää kehitys saavuttaa vallankumous parhain siunauksellisin työväestö itselleen pitkä monimutkainen tie tie oikea päämäärä viedä johonika","Right",1,0
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1920_1_068_011","Vennola, Juho",1872,1938,"Male","46-55","1920-1960","Very Long","vallankumous","vallankumous positiivinen tulos itä-europpa europpa demokratiseeraaminen suorittaa historiallinen tehtävä itä-europpa olo uudestaan järjestäminen demokraattisemma pohja aika ranska vallankumous suorittaa länsi-europa toisenlainen sisällys toinen edellytys yhteis#kunnallinen valtiollinen liike maailma saavuttaa ihanteitaan toteutua muoto","vallankumous positiivinen tulos itä-europpa europpa demokratiseeraaminen suorittaa historiallinen tehtävä itä-europpa olo uudestaan järjestäminen demokraattisemma pohja aika ranska vallankumous suorittaa länsi-europa toisenlainen sisällys toinen edellytys yhteiskunnallinen valtiollinen liike maailma saavuttaa ihanteitaan toteutua muoto","Right",1,0
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1932_2_045_007","Cajander, A.K.",1879,1943,"Male","46-55","1920-1960","Long","kapina","jäädä kaikkein jyrkä osittain vastuuton aines hallitus joulukuu välikysymyskeskustelu vastaus voida arvata pari kuukausi puhkeaa mäntsälä kapina huomautu syy hallitus joitakuu rivi alhaalla sivu ilmoittaa näyttää päättää ryhtyä uusi pakkokyyditys suunnitella hallitus jäsen hallitus päätös syytetty vangita pitäminen laillinen syy viitta kysymys henkilö sellainen kapina johto#mies mäntsälää kapina tosi#asia m m kapinallinen johto julistu helmikuu päivä sanoa metri metri perääntyä hell ei alistua","jäädä kaikkein jyrkä osittain vastuuton aines hallitus joulukuu välikysymyskeskustelu vastaus voida arvata pari kuukausi puhkeaa mäntsälä kapina huomautu syy hallitus joitakuu rivi alhaalla sivu ilmoittaa näyttää päättää ryhtyä uusi pakkokyyditys suunnitella hallitus jäsen hallitus päätös syytetty vangita pitäminen laillinen syy viitta kysymys henkilö sellainen kapina johtomies mäntsälää kapina tosiasia m m kapinallinen johto julistu helmikuu päivä sanoa metri metri perääntyä hell ei alistua","Right",0,1
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1919_1_013_037","Sarlin, Bruno",1878,1951,"Male","36-45","Civil_War","Very Long","kapina","valitettaviinkki teko vapaaehtoinen valkoinen armeija nuori soture kammottaa julmuus varsinainen kapina oma tehdä katkeruus tajuttavamma puhua kapina sellainen maailma kansanvaltaisi maa laillinen valtio yhteiskuntajärjestys suunnata kansa vähemmistö taho virinä verinen luokkadiktatuuri tähtäää ilmiö tietää teko varsinainen taistelurintama takana yli#päätään voida varma kavali vehkeily uudistuminen muoto katsoa sota#toimi jokin paikka#kunta loppua aseellis kapina lis pääjoukko osa tuhota osa taasen vangita lyödä haja mieli asianalas ei sellainen päätelmä suinkaan oma tukea jollakä seudu päättyä sensi mieli selvä vanki tutkimatonta tuomitsematon teloitus voida tapahtua oikeus#valtio oikeusnorma mukaisesti kapina maa saada kukisteta sotatoin varsinainen rintamapalvelus päättyä voida osoittaa suppeamman-tai laaja kapinallinen jälki-ilmiö kukistamishanke välitön käyne","valitettaviinkki teko vapaaehtoinen valkoinen armeija nuori soture kammottaa julmuus varsinainen kapina oma tehdä katkeruus tajuttavamma puhua kapina sellainen maailma kansanvaltaisi maa laillinen valtio yhteiskuntajärjestys suunnata kansa vähemmistö taho virinä verinen luokkadiktatuuri tähtäää ilmiö tietää teko varsinainen taistelurintama takana ylipäätään voida varma kavali vehkeily uudistuminen muoto katsoa sotatoimi jokin paikkakunta loppua aseellis kapina lis pääjoukko osa tuhota osa taasen vangita lyödä haja mieli asianalas ei sellainen päätelmä suinkaan oma tukea jollakä seudu päättyä sensi mieli selvä vanki tutkimatonta tuomitsematon teloitus voida tapahtua oikeusvaltio oikeusnorma mukaisesti kapina maa saada kukisteta sotatoin varsinainen rintamapalvelus päättyä voida osoittaa suppeamman-tai laaja kapinallinen jälki-ilmiö kukistamishanke välitön käyne","Right",0,1
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1934_1_005_049","Virkkunen, Paavo",1874,1959,"Male","56-65","1920-1960","Very Long","kapina","saavuttaa ilta käsittely ensimmäinen kohtaan lähesti käsitellä perustuslakivalio#kunta ponnistaa voima saadas selvittää tausta valio#kunta sa100 mäntsälä kapina valio#kunta mieli kehittyä perustuslakivalio#kunta saada erinomainen apu ed räisänen tausta esittäminen arvella perustuslakivalio#kunta kiitollinen apu valio#kunta kohdistaa kiihoitus niinkuin sana mietintö kuulua valio#kunta pahoitella laimin#lyönti näennäisesti moittia hallitus antaa aihe uusiutuva väite kapina syntyydä satunnaisesti käsitys valio#kunta polemisoida esittää todistus polemiikki väite tuki kyllä vaativainen kumoamattomasti selvitä seuraava valio#kunta lausua kapina kukistua osa kapina osaaottaneinen sallia vapaasti lähteä pois j.n valio#kunta käsittää kapina kukistaa sallittu osaaottane vapaasti lähteä pois käsitys tosi#asia mukainen harhaanjohtava kapina kukistua tasa#valta kapina kukistaa sallittu osaaottane vapaasti lähteä pois käsitys tosi#asia mukainen harhaanjohtava kapina kukistua tasa#valta presidentti antaa julistus liittyä suojeluskunti yleinen mielipis vaikutus kenraali#majuri malmberg toiminta kellokosk osaaottane sallia poistua ase mieli kenraali pitää verenvuodatuknen i edus#kunta riisu joukko ase kohta perustuslakivaliokunta se ilmaista mielipis perustuslakivalio#kunta mäntsälä kapina tukahduttaa verenvuodatuknen edus#kunta enemmistö tämä vaihtoehto valita valmis tehdä kaame johto#päätös kumminkin epälukuisa suomi kansalainen katsoa pisara veri vuotaa kiittää kenraali#majuri malmbergia ratkaisevasti vaikuttaa mäntsälä kapina päättyminen verettömästi mäntsälä verettömi kapina historia tietää uhkaava loppu likvidoia verenpisarankaan vuodatus sija kenraali#majuri malmberg ansio valio#kunta pitää painattaa mietintö kenraali tunnustus","saavuttaa ilta käsittely ensimmäinen kohtaan lähesti käsitellä perustuslakivaliokunta ponnistaa voima saadas selvittää tausta valiokunta sa100 mäntsälä kapina valiokunta mieli kehittyä perustuslakivaliokunta saada erinomainen apu ed räisänen tausta esittäminen arvella perustuslakivaliokunta kiitollinen apu valiokunta kohdistaa kiihoitus niinkuin sana mietintö kuulua valiokunta pahoitella laiminlyönti näennäisesti moittia hallitus antaa aihe uusiutuva väite kapina syntyydä satunnaisesti käsitys valiokunta polemisoida esittää todistus polemiikki väite tuki kyllä vaativainen kumoamattomasti selvitä seuraava valiokunta lausua kapina kukistua osa kapina osaaottaneinen sallia vapaasti lähteä pois j.n valiokunta käsittää kapina kukistaa sallittu osaaottane vapaasti lähteä pois käsitys tosiasia mukainen harhaanjohtava kapina kukistua tasavalta kapina kukistaa sallittu osaaottane vapaasti lähteä pois käsitys tosiasia mukainen harhaanjohtava kapina kukistua tasavalta presidentti antaa julistus liittyä suojeluskunti yleinen mielipis vaikutus kenraalimajuri malmberg toiminta kellokosk osaaottane sallia poistua ase mieli kenraali pitää verenvuodatuknen i eduskunta riisu joukko ase kohta perustuslakivaliokunta se ilmaista mielipis perustuslakivaliokunta mäntsälä kapina tukahduttaa verenvuodatuknen eduskunta enemmistö tämä vaihtoehto valita valmis tehdä kaame johtopäätös kumminkin epälukuisa suomi kansalainen katsoa pisara veri vuotaa kiittää kenraalimajuri malmbergia ratkaisevasti vaikuttaa mäntsälä kapina päättyminen verettömästi mäntsälä verettömi kapina historia tietää uhkaava loppu likvidoia verenpisarankaan vuodatus sija kenraalimajuri malmberg ansio valiokunta pitää painattaa mietintö kenraali tunnustus","Right",0,1
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1932_2_077_100","Riipinen, Hilja",1883,1966,"Female","46-55","1920-1960","Short","kapina","painaa korkea kirjaima sos.dem pää-äänenkannaitaja etusivu ylistys sveita sotaväki siirtyä kansa tahtoa sanoa kapinallinen puoli ed aaltonen entäs suomi mäntsälä kapina tä voida tapahtua luotettava maa puolustusväki siitä vasen sellainen viha maanpuolustus huomata","painaa korkea kirjaima sos.dem pää-äänenkannaitaja etusivu ylistys sveita sotaväki siirtyä kansa tahtoa sanoa kapinallinen puoli ed aaltonen entäs suomi mäntsälä kapina tä voida tapahtua luotettava maa puolustusväki siitä vasen sellainen viha maanpuolustus huomata","Right",0,1
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1938_1_038_014","Moilanen, Kaapro",1878,1957,"Male","56-65","1920-1960","Long","sisällissota","seikka ennustaminen nykyinen olo entistään vaikea taloudellinen epä#varmuus oma lisätä nykyään maailma vallitseva poliittinen levottomuus jännitys seikka espanja sisällissota pitää eurooppa vuosikaunen jännitys ehkäissy kaupankäynti maa japani kiina sota vaikuttaa häiritä paljon kansain#välinen kauppa","seikka ennustaminen nykyinen olo entistään vaikea taloudellinen epävarmuus oma lisätä nykyään maailma vallitseva poliittinen levottomuus jännitys seikka espanja sisällissota pitää eurooppa vuosikaunen jännitys ehkäissy kaupankäynti maa japani kiina sota vaikuttaa häiritä paljon kansainvälinen kauppa","Right",0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1974_1_084_043","Rainio, Kullervo",1924,2020,"Male","46-55","1960-2000","Very Long","vallankumous","muutos tapahtua loivasti kaartaen tarkoittaa tarkoittaa mikään erityisvaihei selvästi huomattaa kysymys tällainen rauhanomaisesti toteuttaa sosialistinen vallankumous sikäli sosialistinen sosialisti saada jokin kaupoi taakse perustus#laki#valio#kunta enemmistö puhua keskeinen merkitys juutaa koulujärjestelmä#laki $ n lkäsittely puolue kerralla vksi asiassa asia lähteä vasemmisto houkutus tie taikka kuunnella uhkaus maa hoitamisi seuraus yksinkertaisesti hiljainen vallankumous romuttaa maa perustuslaki keskustapuolue liberaali lähteä tie ottaa askel fd kontesalmi aikoa sanoa","muutos tapahtua loivasti kaartaen tarkoittaa tarkoittaa mikään erityisvaihei selvästi huomattaa kysymys tällainen rauhanomaisesti toteuttaa sosialistinen vallankumous sikäli sosialistinen sosialisti saada jokin kaupoi taakse perustuslakivaliokunta enemmistö puhua keskeinen merkitys juutaa koulujärjestelmälaki $ n lkäsittely puolue kerralla vksi asiassa asia lähteä vasemmisto houkutus tie taikka kuunnella uhkaus maa hoitamisi seuraus yksinkertaisesti hiljainen vallankumous romuttaa maa perustuslaki keskustapuolue liberaali lähteä tie ottaa askel fd kontesalmi aikoa sanoa","Right",1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1935_2_020_037","Leiwo, Yrjö",1884,1964,"Male","46-55","1920-1960","Long","vallankumous","punalipa symboli i soida ikuinen totuus punaida nen aate elää kankaan päällä työ#väki joukkoliikkei ed kivi salo oikeinä vallankumous väriltä punainen tulinen yhteiskunnalllinen luomis#työ pa#lava elää sellainen #lippu porvaristo kansalais#sota","punalipa symboli i soida ikuinen totuus punaida nen aate elää kankaan päällä työväki joukkoliikkei ed kivi salo oikeinä vallankumous väriltä punainen tulinen yhteiskunnalllinen luomistyö palava elää sellainen lippu porvaristo kansalaissota","Right",1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1932_2_126_074","Virkkunen, Paavo",1874,1959,"Male","56-65","1920-1960","Very Long","vallankumous","kulttuurivallankumouknen proletariaatinen puolue antaa ohje opiskelu selvittää sotilaallinen toimen#pide luokkataisteluoppi kohta vasen pitää radioida puhe porvarillinen vallankumous venäjä maaliskuu vallankumous lokakuu vallankumous vihdoin johtaa valta vieläkin palata jäsentely kommunistinen nuorisoliikkeenen kysyä tulos tällainen järjestelmällinen pitkälle kehitetys kiihoitustyö puolue antaa ohje opiskelu selvittää sotilaallinen toimen#pide luokkataisteluoppi kohta vasen pitää radioida puhe porvarillinen vallankumous venäjä maaliskuu vallankumous lokakuu vallankumous vihdoin johtaa valta vieläkin palata jäsentely kommunistinen nuorisoliikkeenen kysyä tulos tällainen järjestelmällinen pitkälle kehitetys kiihoitustyö","kulttuurivallankumouknen proletariaatinen puolue antaa ohje opiskelu selvittää sotilaallinen toimenpide luokkataisteluoppi kohta vasen pitää radioida puhe porvarillinen vallankumous venäjä maaliskuu vallankumous lokakuu vallankumous vihdoin johtaa valta vieläkin palata jäsentely kommunistinen nuorisoliikkeenen kysyä tulos tällainen järjestelmällinen pitkälle kehitetys kiihoitustyö puolue antaa ohje opiskelu selvittää sotilaallinen toimenpide luokkataisteluoppi kohta vasen pitää radioida puhe porvarillinen vallankumous venäjä maaliskuu vallankumous lokakuu vallankumous vihdoin johtaa valta vieläkin palata jäsentely kommunistinen nuorisoliikkeenen kysyä tulos tällainen järjestelmällinen pitkälle kehitetys kiihoitustyö","Right",1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1935_2_109_021","Lehtonen, Kustaa",1883,1962,"Male","46-55","1920-1960","Long","vapaussota","tuntea sellainen tapaus kunnollinen työläinen mielipiteitti joutua työnantajas vaino alainen punainen harjoittaa työmaaterrori vapaus#sota päättyä työma rauha alkaa häiritä työläinen ottaa osata maa vapauttaminen tylyimpi vaino alainen työmaa työmaa saada paeta laki","tuntea sellainen tapaus kunnollinen työläinen mielipiteitti joutua työnantajas vaino alainen punainen harjoittaa työmaaterrori vapaussota päättyä työma rauha alkaa häiritä työläinen ottaa osata maa vapauttaminen tylyimpi vaino alainen työmaa työmaa saada paeta laki","Right",0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1932_2_077_110","Pihkala, Martti",1882,1966,"Male","46-55","1920-1960","Short","kapina","sellainen merkitys esinä fenevi tapella sosiali#demokraatti sanoa asema hallitus sangen vakava kapina sana puhua sellainen kumminka tapahtua genevi kansainliitto rauhankeskuspaika kaatua kumminkin muistaa mies kapina tehdä","sellainen merkitys esinä fenevi tapella sosialidemokraatti sanoa asema hallitus sangen vakava kapina sana puhua sellainen kumminka tapahtua genevi kansainliitto rauhankeskuspaika kaatua kumminkin muistaa mies kapina tehdä","Right",0,1
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1991_1_047_070","Taina, Anneli",1951,NA,"Female","36-45","1960-2000","Very Short","kapina","viikkokausi jahkailua asia kriisi tehdä nopea päätös kuvitella edus#kunta pystyä nopeinen päätös ed laakso arvostella sana kapina jokin kummallinen syy olettaa kapina mahdollinen nyky#maailma muistaa 70- 80#luku espanja kapina kapina nousta osa asevoiminen hyökkäämä parlamentti tehdä nopea päätös kuvitella edus#kunta pystyä nopeinen päätös ed laakso arvostella sana kapina jokin kummallinen syy olettaa kapina mahdollinen nyky#maailma muistaa 70- 80#luku espanja kapina kapina nousta osa asevoiminen hyökkäämä parlamentti ed laine suomi lain#säädäntö tietenkin kapina nousta osa asevoiminen hyökkäää parlamentti ed laine suomi lain#säädäntö tietenkin toivoa tällainen nyky#maailma mm kapina varauduttaa kriisilai","viikkokausi jahkailua asia kriisi tehdä nopea päätös kuvitella eduskunta pystyä nopeinen päätös ed laakso arvostella sana kapina jokin kummallinen syy olettaa kapina mahdollinen nykymaailma muistaa 70- 80luku espanja kapina kapina nousta osa asevoiminen hyökkäämä parlamentti tehdä nopea päätös kuvitella eduskunta pystyä nopeinen päätös ed laakso arvostella sana kapina jokin kummallinen syy olettaa kapina mahdollinen nykymaailma muistaa 70- 80luku espanja kapina kapina nousta osa asevoiminen hyökkäämä parlamentti ed laine suomi lainsäädäntö tietenkin kapina nousta osa asevoiminen hyökkäää parlamentti ed laine suomi lainsäädäntö tietenkin toivoa tällainen nykymaailma mm kapina varauduttaa kriisilai","Right",0,1
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1990_1_129_014","Sasi, Kimmo",1952,NA,"Male","36-45","1960-2000","Short","kapina, vallankumous","kehitys paikka taanutua johtaa itä nähdä länsi mennä eteenpäin markkina#talous kausi syntyä kapina syntyä vapautus#liike syntyä demokraattinen vallankumous näistä mainen eniisinen sosialistinen maa markkinatalousmas merkitä lafferi teoria mieli johtaa itä nähdä länsi mennä eteenpäin markkina#talous kausi syntyä kapina syntyä vapautus#liike syntyä demokraattinen vallankumous näistä mainen eniisinen sosialistinen maa markkinatalousmas merkitä lafferi teoria mieli ed seppänen todeta","kehitys paikka taanutua johtaa itä nähdä länsi mennä eteenpäin markkinatalous kausi syntyä kapina syntyä vapautusliike syntyä demokraattinen vallankumous näistä mainen eniisinen sosialistinen maa markkinatalousmas merkitä lafferi teoria mieli johtaa itä nähdä länsi mennä eteenpäin markkinatalous kausi syntyä kapina syntyä vapautusliike syntyä demokraattinen vallankumous näistä mainen eniisinen sosialistinen maa markkinatalousmas merkitä lafferi teoria mieli ed seppänen todeta","Right",0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s2016_1_021_026","Pelkonen, Jaana",1977,NA,"Female","36-45","2001-Present","Short","sisällissota","arvoisa puhe#mies kulua raskas euroopa epävakaus turvattomuus lisääntyä kiihtyvä vauhti naapuri palata savu saavuttaa syyria sisällissota lainehtiminen lähialuei tappaa jatkuvasti ihminen tuhota ihmiskohtala yhteiskunti aiheuttaa toivottomuus radikalisoituminen euroopa näkyä historiallinen suuri pakolaismäärä tuhoisi","arvoisa puhemies kulua raskas euroopa epävakaus turvattomuus lisääntyä kiihtyvä vauhti naapuri palata savu saavuttaa syyria sisällissota lainehtiminen lähialuei tappaa jatkuvasti ihminen tuhota ihmiskohtala yhteiskunti aiheuttaa toivottomuus radikalisoituminen euroopa näkyä historiallinen suuri pakolaismäärä tuhoisi","Right",0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1955_1_018_018","Wirtanen, Johannes",1898,1959,"Male","56-65","1920-1960","Short","vallankumous","myrkky etelä-amerikka valtio päästä pois nimittäin takavuosikymmeni sellainen elämäntyyli täytyä pari tehdä vallankumous kansa tuntea voida tuntea olla todella maa uljas kansalainen tällainen rähiköinti saada ylläpitää rähinö osa#puoli nyrkki","myrkky etelä-amerikka valtio päästä pois nimittäin takavuosikymmeni sellainen elämäntyyli täytyä pari tehdä vallankumous kansa tuntea voida tuntea olla todella maa uljas kansalainen tällainen rähiköinti saada ylläpitää rähinö osapuoli nyrkki","Right",1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1931_1_084_024","Huhtala, Kaarlo",1874,1941,"Male","56-65","1920-1960","Long","kapina","paikka pantaa jyrkkä vastalause se suurema syy liitto kunniajäsen henkilö johto maa kukistaa kapina nimittäin ihailemtaa valkoinen kenraali pyrkä kapina hankkia sitäpaitsi om totisesti perusteeton usko uskotella muu mies hautoa kapina","paikka pantaa jyrkkä vastalause se suurema syy liitto kunniajäsen henkilö johto maa kukistaa kapina nimittäin ihailemtaa valkoinen kenraali pyrkä kapina hankkia sitäpaitsi om totisesti perusteeton usko uskotella muu mies hautoa kapina","Right",0,1
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1919_1_012_032","Malmivaara, Wilhelmi",1854,1922,"Male","56-65","Civil_War","Very Short","kapina","mahdollinen maa porvarillinen valta kansana jokainen täyttänei samallainen oikeus osanotto yhteis#kunnallinen valtiollinen elää viimevuotinen kapina tarkoittaa porvarillinen valta kukistaminen ottaa kukistaas kansan#valta laillinen yhteiskuntajärjestys tehdä kansa onnettomuus sitä pitää vieläkin jatkua saada","mahdollinen maa porvarillinen valta kansana jokainen täyttänei samallainen oikeus osanotto yhteiskunnallinen valtiollinen elää viimevuotinen kapina tarkoittaa porvarillinen valta kukistaminen ottaa kukistaas kansanvalta laillinen yhteiskuntajärjestys tehdä kansa onnettomuus sitä pitää vieläkin jatkua saada","Right",0,1
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s2013_1_109_064","Vapaavuori, Jan",1965,NA,"Male","46-55","2001-Present","Long","vallankumous","läheisyys huomattavasti ammennettava tuleva vuosi#kymmen kestävä kasvu olennainen murros digitaalitalous läpilyönti globaali toimeliaisuus perusta laitetaso nähdä tietotekninen vallankumous muuntautua digitaalinen palvelu sisältö läpimurro digitaalitalouda arvonluonninen suuri osa olla aineeton globaali arvoketju pilkkoutua moni tehtävä helppo siirtää","läheisyys huomattavasti ammennettava tuleva vuosikymmen kestävä kasvu olennainen murros digitaalitalous läpilyönti globaali toimeliaisuus perusta laitetaso nähdä tietotekninen vallankumous muuntautua digitaalinen palvelu sisältö läpimurro digitaalitalouda arvonluonninen suuri osa olla aineeton globaali arvoketju pilkkoutua moni tehtävä helppo siirtää","Right",1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1981_1_143_018","Kauppi, Eeva",1921,2008,"Female","56-65","1960-2000","Short","vallankumous","tuntea maa kansa oma puuttua eläminen perusedellytys kaikinpuolinen perustoimeentuloturva asia suhtauduttaa vakavasti nähdä työttömyysongelma laajema näkö#kulma teollinen vallankumous mullisti aikanaan yhteis#kunta aiheuttaa työttömyys sosiaalinen ongelma meneillä yleismaailmallinen teknologia tietokonetekniikka aika#kausi epäileä muuttaa yhteiskuntaa tapa rajusti syvälle","tuntea maa kansa oma puuttua eläminen perusedellytys kaikinpuolinen perustoimeentuloturva asia suhtauduttaa vakavasti nähdä työttömyysongelma laajema näkökulma teollinen vallankumous mullisti aikanaan yhteiskunta aiheuttaa työttömyys sosiaalinen ongelma meneillä yleismaailmallinen teknologia tietokonetekniikka aikakausi epäileä muuttaa yhteiskuntaa tapa rajusti syvälle","Right",1,0
